Code_commune,Libelle_de_la_commune,Inscrits_22,Abstentions_22,Exprimes_22,Votes_Extreme_Gauche,Votes_Gauche,Votes_Centre,Votes_Droite,Votes_Extreme_Droite,Top_Extreme_Gauche,Top_Gauche,Top_Centre,Top_Droite,Top_Extreme_Droite,Voix_ART_22,Voix_ROU_22,Voix_MAC_22,Voix_LAS_22,Voix_PEN_22,Voix_ZEM_22,Voix_MEL_22,Voix_HID_22,Voix_JAD_22,Voix_PEC_22,Voix_POU_22,Voix_DUP_22
33148.0,Dardenac,79,10,69,0,16,17,6,30,0,0,0,0,1,0,0,17,6,22,6,15,0,1,0,0,2
33149.0,Daubèze,124,20,104,1,18,25,21,39,0,0,0,0,1,0,0,25,10,27,12,16,1,1,11,1,0
33150.0,Dieulivol,203,46,152,5,45,35,19,48,0,0,0,0,1,2,1,35,9,35,7,31,5,8,10,3,6
33151.0,Donnezac,752,175,565,10,106,114,49,286,0,0,0,0,1,5,13,114,25,243,33,69,14,10,24,5,10
33152.0,Donzac,116,17,96,1,25,28,21,21,0,0,1,0,0,1,0,28,16,17,4,19,3,3,5,0,0
33152.0,Donzac,116,17,96,1,25,28,21,21,0,0,1,0,0,1,0,28,16,17,4,19,3,3,5,0,0
33153.0,Doulezon,204,26,175,4,41,36,21,73,0,0,0,0,1,2,4,36,14,64,7,27,6,4,7,2,2
33155.0,Escaudes,140,16,122,2,39,27,12,42,0,0,0,0,1,1,2,27,11,35,3,30,3,4,1,1,4
33156.0,Escoussans,255,43,201,1,44,48,32,76,0,0,0,0,1,0,2,48,23,52,20,34,2,6,9,1,4
33157.0,Espiet,560,104,451,8,114,92,28,209,0,0,0,0,1,5,7,92,18,173,23,82,5,20,10,3,13
,Etauliers,1078,261,800,9,193,132,62,404,0,0,0,0,1,1,62,132,46,335,47,106,13,12,16,8,22
33160.0,Eynesse,441,71,361,1,85,99,47,129,0,0,0,0,1,0,7,99,34,99,20,57,10,11,13,1,10
33161.0,Eyrans,577,106,459,9,94,96,40,220,0,0,0,0,1,2,15,96,20,185,28,65,7,7,20,7,7
33162.0,Eysines,15882,3720,11960,177,3843,3753,994,3193,0,1,0,0,0,43,269,3753,454,2243,738,2588,305,681,540,134,212
33163.0,Faleyras,363,60,299,7,56,80,28,128,0,0,0,0,1,0,8,80,15,102,17,38,2,8,13,7,9
33164.0,Fargues,1271,238,1014,8,294,285,110,317,0,0,0,0,1,3,45,285,74,255,42,186,25,38,36,5,20
33164.0,Fargues,1271,238,1014,8,294,285,110,317,0,0,0,0,1,3,45,285,74,255,42,186,25,38,36,5,20
33164.0,Fargues,1271,238,1014,8,294,285,110,317,0,0,0,0,1,3,45,285,74,255,42,186,25,38,36,5,20
33165.0,Fargues-Saint-Hilaire,2317,380,1907,27,549,638,152,541,0,0,1,0,0,11,52,638,72,396,113,363,37,97,80,16,32
33168.0,Flaujagues,390,79,301,6,68,66,22,139,0,0,0,0,1,2,5,66,15,113,23,48,8,7,7,4,3
33167.0,Floirac,11749,3467,8131,146,3619,1919,429,2018,0,1,0,0,0,34,257,1919,229,1495,411,2730,225,407,200,112,112
33167.0,Floirac,11749,3467,8131,146,3619,1919,429,2018,0,1,0,0,0,34,257,1919,229,1495,411,2730,225,407,200,112,112
33167.0,Floirac,11749,3467,8131,146,3619,1919,429,2018,0,1,0,0,0,34,257,1919,229,1495,411,2730,225,407,200,112,112
33169.0,Floudès,69,12,53,1,21,11,8,12,0,1,0,0,0,1,3,11,8,10,0,18,0,0,0,0,2
33170.0,Fontet,588,129,452,5,97,100,55,195,0,0,0,0,1,1,9,100,47,159,29,57,14,17,8,4,7
33171.0,Fossès-et-Baleyssac,156,28,128,0,33,14,18,63,0,0,0,0,1,0,3,14,12,45,17,20,1,9,6,0,1
33172.0,Fours,232,47,175,1,40,36,24,74,0,0,0,0,1,1,10,36,7,57,14,22,0,8,17,0,3
33172.0,Fours,232,47,175,1,40,36,24,74,0,0,0,0,1,1,10,36,7,57,14,22,0,8,17,0,3
33173.0,Francs,164,26,136,5,23,36,18,54,0,0,0,0,1,3,0,36,16,41,7,15,5,3,2,2,6
33174.0,Fronsac,882,149,724,9,147,222,82,264,0,0,0,0,1,5,7,222,35,190,56,117,7,16,47,4,18
33174.0,Fronsac,882,149,724,9,147,222,82,264,0,0,0,0,1,5,7,222,35,190,56,117,7,16,47,4,18
33175.0,Frontenac,560,103,446,12,135,72,38,189,0,0,0,0,1,6,16,72,33,164,21,96,4,19,5,6,4
33175.0,Frontenac,560,103,446,12,135,72,38,189,0,0,0,0,1,6,16,72,33,164,21,96,4,19,5,6,4
33176.0,Gabarnac,273,49,218,3,53,40,22,100,0,0,0,0,1,0,11,40,14,67,31,31,0,11,8,3,2
33177.0,Gaillan-en-Médoc,1841,367,1448,20,301,300,128,699,0,0,0,0,1,6,32,300,80,539,133,217,21,31,48,14,27
33178.0,Gajac,330,42,285,1,69,66,50,99,0,0,0,0,1,0,7,66,36,77,16,51,5,6,14,1,6
33179.0,Galgon,2282,437,1814,10,453,498,146,707,0,0,0,0,1,3,51,498,74,564,106,299,37,66,72,7,37
33180.0,Gans,183,31,149,3,42,30,22,52,0,0,0,0,1,1,4,30,17,39,9,29,3,6,5,2,4
33181.0,Gardegan-et-Tourtirac,229,56,170,0,33,43,21,73,0,0,0,0,1,0,0,43,8,54,16,23,6,4,13,0,3
33182.0,Gauriac,589,87,493,11,145,124,30,183,0,0,0,0,1,8,22,124,19,148,30,91,7,25,11,3,5
33183.0,Gauriaguet,958,162,776,17,241,148,38,332,0,0,0,0,1,5,20,148,19,278,39,193,10,18,19,12,15
